,City,country,Lat,Long,Year,Temperature,feelslike,Dew,Humidity,precip,Percipitation Probability,Snow,snowdepth,Wind Speed,winddir,Sea Level Pressure,Cloud Cover,visibility,Solar Radiation,UV Index,month,days,hour,quarter,dayofyear
0,New York,United States,40.69,-73.92,2015,56.44,54.33,40.68,58.03,0.0,9.03,0.0,0.39,7.17,193.15,1017.78,50.83,9.03,185.94,1.85,6.53,4.0,11.5,2.51,183.03
1,New York,United States,40.69,-73.92,2016,57.26,55.39,41.7,58.63,0.0,8.58,0.0,0.09,7.5,190.66,1016.65,50.02,9.12,184.42,1.84,6.51,4.01,11.5,2.51,183.53
2,New York,United States,40.69,-73.92,2017,57.37,55.66,44.61,64.82,0.01,15.35,0.0,0.11,7.23,194.05,1016.7,36.77,9.35,181.45,1.81,6.53,3.99,11.5,2.51,183.03
3,New York,United States,40.69,-73.92,2018,56.73,55.01,45.25,67.66,0.01,15.22,0.0,0.05,6.67,186.57,1018.05,51.06,9.41,159.8,1.44,6.53,3.99,11.5,2.51,183.03
4,New York,United States,40.69,-73.92,2019,56.67,54.98,44.22,65.35,0.0,12.72,0.0,0.02,6.72,188.98,1017.26,39.11,9.34,162.48,1.55,6.53,4.0,11.5,2.51,183.03
5,New York,United States,40.69,-73.92,2020,58.18,56.84,45.55,65.28,0.0,8.93,0.0,0.2,6.81,193.17,1017.29,39.45,9.46,158.08,1.56,6.51,4.0,11.5,2.51,183.53
6,New York,United States,40.69,-73.92,2021,57.85,56.53,44.43,63.44,0.0,9.42,0.0,0.27,6.36,199.32,1016.84,44.68,9.48,155.69,1.54,6.53,4.01,11.5,2.51,183.03
7,New York,United States,40.69,-73.92,2022,56.58,54.77,41.96,60.61,0.0,9.74,0.0,0.09,6.78,189.91,1017.5,43.26,9.3,163.67,1.62,6.53,4.01,11.5,2.51,183.03
8,New York,United States,40.69,-73.92,2023,46.71,43.83,31.76,59.24,0.0,10.24,0.0,0.01,7.17,201.6,1015.7,50.09,9.24,128.24,1.25,2.6,3.98,11.5,1.28,63.0
9,Los Angeles,United States,34.11,-118.41,2015,66.77,66.73,50.38,59.83,0.0,2.29,0.0,0.0,2.63,182.23,1014.31,25.29,9.18,241.57,2.4,6.53,4.0,11.5,2.51,183.03
10,Los Angeles,United States,34.11,-118.41,2016,65.4,65.32,50.74,63.58,0.0,3.3,0.0,0.0,2.81,184.39,1014.97,28.24,9.13,242.11,2.41,6.51,4.01,11.5,2.51,183.53
11,Los Angeles,United States,34.11,-118.41,2017,66.28,66.26,51.38,63.27,0.0,3.28,0.0,0.0,2.82,186.26,1014.55,26.47,9.09,238.17,2.37,6.53,3.99,11.5,2.51,183.03
12,Los Angeles,United States,34.11,-118.41,2018,65.5,65.52,51.31,64.0,0.0,2.5,0.0,0.0,2.73,185.4,1014.89,28.19,8.93,232.81,2.15,6.53,3.99,11.5,2.51,183.03
13,Los Angeles,United States,34.11,-118.41,2019,64.5,64.44,49.97,62.92,0.0,4.67,0.0,0.0,3.91,191.49,1014.55,31.17,9.02,208.75,2.06,6.53,4.0,11.5,2.51,183.03
14,Los Angeles,United States,34.11,-118.41,2020,66.19,66.13,49.72,59.31,0.0,2.2,0.0,0.0,2.22,195.98,1014.85,23.42,8.6,215.54,2.14,6.51,4.0,11.5,2.51,183.53
15,Los Angeles,United States,34.11,-118.41,2021,64.04,63.98,49.38,62.9,0.0,2.32,0.0,0.0,2.22,203.85,1014.87,28.65,8.87,218.42,2.17,6.53,4.01,11.5,2.51,183.03
16,Los Angeles,United States,34.11,-118.41,2022,64.83,64.83,49.43,61.79,0.0,2.05,0.0,0.0,2.61,183.34,1015.06,23.9,9.39,192.87,1.9,6.53,4.01,11.5,2.51,183.03
17,Los Angeles,United States,34.11,-118.41,2023,57.06,56.96,42.67,63.13,0.01,12.3,0.0,0.0,3.12,179.52,1017.15,40.43,8.96,136.21,1.32,2.6,3.98,11.5,1.28,63.0
18,Tampa,United States,27.99,-82.44,2015,75.14,77.09,66.03,75.02,0.01,9.11,0.0,0.0,6.15,153.23,1017.87,47.13,9.47,199.94,1.99,6.53,4.0,11.5,2.51,183.03
19,Tampa,United States,27.99,-82.44,2016,74.11,76.1,63.9,72.68,0.01,7.22,0.0,0.0,6.21,147.86,1018.11,45.33,9.55,207.66,2.07,6.51,4.01,11.5,2.51,183.53
20,Tampa,United States,27.99,-82.44,2017,74.82,76.79,64.67,72.88,0.0,6.16,0.0,0.0,6.16,145.94,1017.57,39.32,9.44,212.06,2.11,6.53,3.99,11.5,2.51,183.03
21,Tampa,United States,27.99,-82.44,2018,73.75,75.51,63.79,72.89,0.01,8.69,0.0,0.0,6.08,150.05,1018.42,49.29,9.5,196.44,1.9,6.53,3.99,11.5,2.51,183.03
22,Tampa,United States,27.99,-82.44,2019,74.41,76.29,64.78,73.68,0.01,8.2,0.0,0.0,6.29,147.03,1017.41,41.23,9.55,195.6,1.88,6.53,4.0,11.5,2.51,183.03
23,Tampa,United States,27.99,-82.44,2020,74.89,76.63,63.81,70.01,0.0,7.18,0.0,0.0,6.82,149.28,1017.66,42.96,9.64,204.99,2.0,6.51,4.0,11.5,2.51,183.53
24,Tampa,United States,27.99,-82.44,2021,74.61,76.27,63.94,71.25,0.01,6.99,0.0,0.0,6.15,153.67,1017.88,47.79,9.55,194.59,1.89,6.53,4.01,11.5,2.51,183.03
25,Tampa,United States,27.99,-82.44,2022,74.76,76.78,64.13,71.28,0.01,6.42,0.0,0.0,6.28,148.44,1017.61,47.88,9.61,163.09,1.58,6.53,4.01,11.5,2.51,183.03
26,Tampa,United States,27.99,-82.44,2023,70.02,70.26,59.68,72.0,0.0,2.03,0.0,0.0,7.08,164.14,1018.4,41.51,9.44,152.48,1.47,2.6,3.98,11.5,1.28,63.0
27,Austin,United States,30.3,-97.75,2015,68.59,68.9,57.09,70.55,0.01,8.2,0.0,0.0,5.59,154.64,1016.53,49.63,9.12,206.87,2.06,6.53,4.0,11.5,2.51,183.03
28,Austin,United States,30.3,-97.75,2016,70.17,71.32,58.47,69.7,0.0,6.31,0.0,0.0,5.54,153.78,1016.53,45.81,9.23,214.0,2.13,6.51,4.01,11.5,2.51,183.53
29,Austin,United States,30.3,-97.75,2017,70.91,71.54,57.44,66.24,0.0,5.35,0.0,0.0,5.9,154.68,1015.71,41.84,9.34,221.03,2.19,6.53,3.99,11.5,2.51,183.03
30,Austin,United States,30.3,-97.75,2018,69.14,69.56,55.71,66.34,0.0,7.09,0.0,0.0,5.95,153.69,1016.78,50.44,9.26,226.14,1.53,6.53,3.99,11.5,2.51,183.03
31,Austin,United States,30.3,-97.75,2019,69.46,70.18,55.41,64.66,0.0,5.09,0.0,0.0,5.74,155.15,1015.98,42.95,9.19,296.83,1.7,6.53,4.0,11.5,2.51,183.03
32,Austin,United States,30.3,-97.75,2020,70.55,71.24,56.2,64.3,0.0,6.4,0.0,0.0,5.66,151.99,1016.09,41.04,9.24,172.06,1.7,6.51,4.0,11.5,2.51,183.53
33,Austin,United States,30.3,-97.75,2021,69.3,69.87,56.3,66.79,0.0,5.66,0.0,0.02,5.46,152.92,1016.12,47.05,9.22,171.23,1.66,6.53,4.01,11.5,2.51,183.03
34,Austin,United States,30.3,-97.75,2022,69.9,70.26,53.66,61.0,0.0,4.18,0.0,0.01,5.96,165.04,1016.45,40.47,9.49,179.22,1.76,6.53,4.01,11.5,2.51,183.03
35,Austin,United States,30.3,-97.75,2023,61.55,61.08,48.92,67.6,0.0,6.34,0.0,0.01,6.39,161.78,1016.49,52.98,9.05,143.13,1.4,2.6,3.98,11.5,1.28,63.0
